P10790390X0000|67 75|mod ( mdg4 )
P11223255A1034|40 69|serine threonine receptor kinases
P09973607A0254|59 84|Sp100 splice variant proteins
P09278445T0000|40 60|yeast RNA polymerase III
P09305631A0770|16 20|BAG-1
P10809233A0606|95 96|H4
P06208024A0168|46 52|RNase T1
P09880543A0570|0 3|HEED
P09130700A0676|86 90|SPC97
P10488148T0000|111 119|NF-kappaB
P08564488A1359|4 13|fibrinogen
P09560221A0282|41 51|CAK mutation
P11777632A1678|0 1|AF
P07651398A0257|11 21|dShc protein
P08798782A0976|40 42|SH2
P11912261A0284|33 35|PTH
P07990136A1124|175 205|mammalian polIII ternary complexes
P11034547A1355|118 128|DBH promoter
P07540866A1069|14 20|insulin
P10944466A0451|33 42|WNT-2B gene
P11438838A0788|47 71|U6 small nuclear RNA promoter
P10473623A0081|134 157|activin-responsive factor
P11014821T0000|34 41|Doa locus
P08995652A0812|317 319|VP5
P02307848A0347|23 30|Crry gene
P00594617A0192|171 184|fibrin monomers
P09287352A0930|184 186|MEK
P02154686A0185|97 114|beta-galactosidase
P10413607A0085|99 101|CVI
P08550460A0374|40 43|pilP
P00534613A0000|95 102|collagen
P10779352T0000|22 32|E2F3 product
P07964624A0491|154 157|P191
P06324121A0256|38 45|IEmRNA-5
P09582306T0000|16 22|Galphao
P11123912A0306|21 29|SH2 domain
P10026211A0136|40 57|CRE-binding protein
P07933076A0211|18 22|EBNA2
P08918885A0811|0 3|Kss1
P11258906A0743|61 64|Rec2
P09353343A0919|0 14|RNA polymerase II
P02884860A0329|50 68|alpha 1 adrenoceptors
P02748595A0492|69 81|human ADH-beta
P00027739T0000|0 28|Serum gamma glutamyltransferase
P07959760A0763|158 162|Fli-1
P08367487A1014|155 173|anti-PRP9 antibodies
P08637711A1121|203 209|JRE-IL6
P09882303A1984|30 34|TRADD
P09224811A0000|67 94|cytochrome P450 oxidoreductase
P10650938T0000|3 18|estrogen receptor
P07656588A0101|234 240|D19S571
P10652362A0933|50 53|CFTR
P07537736A0453|166 192|cytokine receptor superfamily
P09545638T0000|78 84|HRMT1L1
P02174974A0000|113 127|xylR gene product
P10409724A1021|12 17|ERK1/2
P08497248A0000|29 63|macrophage colony-stimulating factor 1
P01433502A1163|32 45|class I enhancer
P03039177A0503|77 92|IR2 repeat element
P08798643T0000|108 113|ZAP-70
P08887643A1167|58 61|TC21
P11697760A0000|79 96|parathyroid hormone
P03499657A0000|39 62|serum alkaline phosphatase
P08005230A0222|76 88|c-fos promoter
P11094073A0000|31 47|Vav family proteins
P07592946A0997|220 222|Myb
P09309457A0680|35 37|HDL
P11080796A1277|3 5|Tax
P10793143A1533|57 60|Abf1
P09545638A1181|28 34|HRMT1L2
P10942599A1298|38 54|Hoxa-1 target genes
P09519830A0282|250 268|thymidine kinase gene
P09115279A0345|0 3|Cdc2
P10601344A1653|153 156|RhoA
P09765394A1590|129 131|CAT
P11191208A0000|229 232|PDR1
P08915508A0000|292 294|tat
P09144165A1275|21 27|NFAT RIR
P03146017A0983|119 125|ORFtrpB
P01657969A1420|157 166|calmodulin
P10205176A0000|0 15|Nuclear receptors
P10207087A0956|6 10|AML1B
P08336698T0000|6 33|basic helix-loop-helix protein
P01420363T0000|96 101|TIMP-1
P09168892A1016|34 57|AP-1 cis-response elements
P09862481A0000|3 15|Mig1 repressor
P11123316T0000|0 8|Tec kinase
P09381261A0970|28 30|EPO
P10662614A0972|67 68|P1
P10196318T0000|53 78|human papillomavirus type 6 E6
P08921387A1182|131 141|EZH1 protein
P10913094A0424|72 75|AdpA
P10350454A0000|0 3|MutY
P02156828A0164|91 97|cofilin
P02376023A0307|75 78|IgG4
P09544991A0483|31 58|cytosolic tyrosine phosphatase
P10792583A0000|110 113|ACTH
P07649098A0676|147 150|PGE2
P09620273A0189|13 21|Rb protein
P01918073A0150|34 36|TnI
P09238860A1974|107 110|IL-2
P08995659A0563|39 42|MSRs
P09311796A0218|90 111|TATA-box binding protein
P09523478A0572|11 13|IgM
P11042204A0186|90 92|Akt
P11084334A0590|176 193|heat-shock proteins
P10729220A0000|56 63|H19 genes
P09990315A0205|146 153|thrombin
P08837503A0392|94 100|SbHRGP3
P11027294A0483|26 49|histone acetyltransferase
P09426068A0826|9 17|TGF-alpha
P02061333A1359|102 117|thioesterase site
P03280946A0375|118 128|lac promoter
P08005438A1185|0 4|SPP41
P11054571A0230|25 28|TEN1
P08940134A0705|59 63|PTP1B
P07739382A0457|159 176|flightless proteins
P09525891T0000|100 110|bovine CYP17
P00429949A0000|103 116|human prolactin
P08647264T0000|10 13|CD40
P02789217A1323|6 12|IL6 mRNA
P11053370A0708|77 100|glutathione S-transferase
P11208017A0070|45 50|SCOF-1
P03110678A0702|12 30|beta 2 -microglobulin
P08144572A0786|132 135|DnaK
P10543730A0000|61 63|Cdk
P07799931A1232|31 33|Nrl
P10419521A0136|34 36|ELL
P10454570A0846|177 180|JunD
P09703021A0000|45 50|AANATs
P01772341A0852|45 65|thromboxane synthetase
P08355697A0000|46 67|protein tyrosine kinases
P10938120A1093|88 90|PKA
P08164661A0414|47 65|yeast TFIIIC subunits
P08921387A1182|56 59|EZH1
P08979089A1197|106 112|Sp1 site
P09287352A0930|23 26|STAT
P07678242A0473|61 68|acc genes
P07799931A0287|63 68|L7 gene
P08876167A0717|89 91|pRB
P01828248A0189|145 152|helicase
P11162576A0213|98 111|human PDE5A gene
P11145887A1393|35 42|AP-1 site
P11310937A0548|162 170|TNF-alpha
P02470955A0101|47 51|CSF AP
P10543727A0282|196 209|kappaB2 element
P10395920A1424|35 43|ATF family
P01883992A0922|95 107|beta-zein gene
P08663219A0246|16 27|rat PGS-2 gene
P10523663A0404|30 62|Drosophila homeobox activator DEAF-1
P09003410A0000|59 90|Epstein-Barr virus nuclear antigen 2
P10561546A0000|138 156|NF-kappaB p65 subunit
P08887661A0138|0 4|IRF-1
P10359664A0579|40 45|MARCKS
P01697683T0000|52 65|cytotactin gene
P09414319A1442|22 27|Y15171
P09819038A0448|0 15|Recombinant FVIIa
P09536440A0000|39 45|myosin V
P01653238A1715|6 14|TGF-beta 1
P08157009T0000|3 33|Saccharomyces cerevisiae APS1 gene
P10619353T0000|79 129|chicken ovalbumin upstream promoter transcription factor
P10743608A1154|0 6|TbRAB31
P09343432A0209|3 5|Scm
P10198003A1505|10 35|lacZ transcriptional fusions
P09642238A1285|136 145|Sp1 protein
P08833653A0304|58 74|rat amylin promoter
P08471629A0816|82 89|beta-PKC
P11602353A0770|23 27|HFH-1
P08237578A0253|72 86|LDL-cholesterol
P09267439A0000|19 32|ras superfamily
P10593939A0747|171 178|SR family
P10724483A0540|51 60|HEM13 genes
P02247069A0261|3 10|TUP1 gene
P01730412T0000|39 43|c-Myc
P09215891A0000|51 59|CIN4 genes
P09268661A1405|37 56|reverse transcriptase
P11359568T0000|45 48|ParB
P07499401A0444|47 47|F
P09627285A0554|115 117|hMG
P09077108A0458|72 80|TNF-alpha
P09521907A0190|0 22|Drosophila orthodenticle
P10077533A0976|63 65|MKS
P10763827A1158|90 97|TGFbeta1
P08816460A1769|77 79|Ras
P02679804A2000|18 22|ura10
P09849965A0000|114 116|hPR
P11471077A0382|64 67|TRA1
P11049241A0659|32 35|PP14
P10223338A2186|66 73|HIV-2 gag
P02144610A1306|57 77|T-cell nuclear proteins
P02024816A0521|43 46|SP-A
P08900190A0430|93 97|c-Fos
P09840928A0884|27 29|Dlk
P08662852A1297|85 91|beta2AR
P08756597A0854|62 69|psaB mRNA
P03612648A0085|68 81|thromboplastin
P07528531A0904|18 22|G-CSF
P02298741A0809|68 75|gamma PKC
P09154819A0501|25 29|c-Jun
P10079173A0000|0 29|Human neuronal Elav-like proteins
P08649428A1227|120 123|Cdc2
P09479498A0000|18 37|human RING-finger gene
P10487760A0336|76 87|Xenopus MEF2D
P10446131A0132|0 10|PDGF A-chain
P08647086A0720|101 103|p53
P08200528A0970|150 153|pPGK
P09254709T0000|58 61|CcpA
P08039422A0000|3 27|nerve growth factor beta gene
P09642238A1285|41 46|GATA-1
P08948440A0628|3 5|ERH
P09268387A0293|100 114|RNA polymerase II
P02176822A0000|159 174|glycogen synthase
P11207308A0999|210 212|p38
P09461594A0000|157 166|PLC-gamma2
P10599727A1567|8 9|GH
P07576307A0144|86 89|rENK
P09312028A0975|17 29|RXRalphaF318A
P08300611A0341|77 88|TraI proteins
P01698761A1059|124 127|AlgP
P10611320A0816|128 131|Cdk7
P11336698A0075|15 18|Rsc3
P09314537A1600|52 70|ezrin binding protein
P09171389A0549|148 170|PyrR attenuation proteins
P09642276A0881|13 15|Fak
P08878045A0606|77 89|RNA polymerase
P07906265A0897|60 70|fasD mutants
P09583208A0171|47 58|serum albumin
P11352663A0138|109 117|NF-kappaB
P07916326A0000|106 110|Msx-1
P03004982A0199|97 100|fbcF
P08938420A0862|28 36|LHA2 mRNAs
P10407184A0149|21 31|betaAPP gene
P09271397A1596|116 122|Sp1 site
P09488441A0615|0 2|Sp1
P10597232A0000|52 59|RET genes
P09169127A0371|25 50|neuropeptide Y receptor genes
P02668691A0570|23 26|nagB
P09844921A0000|9 37|serine-threonine protein kinase
P01325221A0870|104 115|p41 MAP kinase
P07565104A0084|48 51|ToxR
P02154467A0709|77 97|human furin gene product
P08466864A0878|159 167|TGF-beta 1
P07596558A0824|42 49|IL-1 beta
P07633444T0000|60 83|mouse WD-repeat gene DMR-N9
P11350038A0459|93 98|hY RNAs
P01849734A1063|8 25|PR55 beta transcript
P08995410A1109|136 138|p44
P02541251A1327|58 88|mammalian transcription factor SP1
P08417331A0745|95 111|retinal transducin
P06810694A0328|13 27|HDL-cholesterol
P07504171A0715|38 43|PDGF-R
P11595176T0000|24 37|human SPEC1 gene
P08790387A0299|60 66|whn gene
P09430668A0172a|58 96|sterol regulatory element-binding proteins
P06407348A0516|129 144|cardiac receptors
P08813900A1088|6 12|phytase
P10074921A1169|72 74|p53
P09290207A0731|39 58|silent mating type loci
P09950394A0336|23 39|carboxyhemoglobin
P08501030A0456|74 77|narL
P10347197A0502|14 30|urokinase promoter
P11433379A0000|0 2|SIT
P09753769A0362|85 97|PBAN precursor
P09238860A1974|49 52|CREB
P01674817T0000|116 127|RNA15 protein
P09712898T0000|88 90|JNK
P08771781A0103|60 66|oleosin
P10209119A0076|146 167|cyclin-dependent kinase
P09765261A0000|187 212|viral Tax-responsive element
P07748952A1329|24 27|mutL
P10319327A1237|147 157|bHLH protein
P02536096A0327|100 135|chloramphenicol acetyltransferase gene
P01375913A0484|53 64|U14 snRNA gene
P09199932A1357|102 104|ATM
P03038643A1374|105 125|alpha-fodrin-like gene
P08300625A1352|26 29|slyD
P07871891A0227|51 69|ribosomal protein S13
P09482902A0942|345 354|Pctr1 locus
P11459794A1172|110 124|GnRH-II promoter
P09837907A0857|13 24|TNF receptors
P02165589A0888|153 167|fos oncoproteins
P09716179A0974|162 165|cdc2
P09852005A1287|122 125|SAP1
P10339552A0361|28 37|SRm160/300
P08395681A0388|226 227|RB
P08441394A1297|147 149|Ras
P09233772A0136|190 193|RCC1
P09920930A0959|72 74|Luc
P10823961A0664|36 42|DRIP130
P09725854A1060|193 198|urf209
P08264631A0746|26 29|ADR1
P07876300A0994|3 5|p97
P10713161A0985|14 17|Ulp2
P11314046A0000|0 6|Cyclins
P07509450A0705|53 61|HSV tk gene
P08145646T0000|50 53|RpoN
P07563090A0124|144 147|PPT1
P08497259A0452|13 32|SUP4A53T61 transcript
P10551816A0162|0 10|Human LTBP-1
P10383764A1809|44 54|VirB4 dimers
P06090458A0407|86 91|TK gene
P01708774A0203|24 27|AP-1
P01421145A1190|79 84|PCAT-1
P08309953A0776|27 42|dopamine receptor
P10708424A0800|59 63|BGLF4
P07588777A1524|41 49|RNAP II CTD
P09584165T0000|91 108|src tyrosine kinases
P10671519A0641|184 189|emerin
P09020138A0833|133 136|CrkL
P09010223A0667|46 53|EWS-FLI1
P08005438A1185|48 52|spp43
P08076631A0000|81 114|vitamin-D-responsive promoter region
P11278290A1220|7 11|Smad2
P09533030T0000|168 171|SDHD
P00837811A0675|61 73|gamma globulin
P08666404A0311|150 159|human PPP5C
P09241232A1154|63 77|endonuclease III
P11220306A0911|0 5|HexA71
P02217741T0001|47 53|insulin
P09666114A0389|56 68|c-met promoter
P08497280T0000|47 50|SWI4
P09430668A0172a|14 28|HMG-CoA synthase
P08626667A1517|147 153|GPT gene
P08276865A1188|115 123|MAP kinase
P08387507A1015|23 26|MyoD
P01470243A0871|248 254|albumin
P09794795A0183|91 93|Jak
P08212571A0597|18 20|tat
P08276234A0119|21 23|YY1
P11313398A0687|32 39|IIA-ITAM
P07678051A1303|3 14|PDGFR mutants
P08440688A1509|31 42|G alpha i genes
P09421508A0696|26 30|TCF11
P09353296A0510|46 75|Escherichia coli moaA gene product
P00846559A0000|187 194|T-2 toxin
P09852136A0174|54 57|p190
P08336698T0000|56 59|TFE3
P10506143A0610|144 146|EGF
P09925777A1195|19 36|hnRNP A1 binding site
P09843572A0944|93 96|Wee1
P03025655T0000|33 66|cytoplasmic protein-tyrosine kinases
P07651424A0743|17 20|SSM1
P09209406A1021|80 104|GTPase-activating proteins
P09046384A0403|69 75|amylase
P08062833A0000|57 71|mouse desmin gene
P08703010A0905|173 193|E-box-binding proteins
P02116071A0000|160 174|mite specific IgE
P09701609A0116|75 80|PhLOP2
P08413260A1437|24 32|Rb protein
P10409724A1021|48 75|immediate-early response genes
P09685226A0000|94 131|human parathyroid hormone-related protein
P09504423A0114|160 162|GST
P03011793A0582|22 25|rbsD
P10487762A0252|0 3|NuA4
P11471077A0382|71 74|TRA2
P07575416A1970|98 108|PKC zeta mRNA
P06818113A0384|152 171|plasminogen activator
P11368363A0129|159 167|human HBP1
P06795832A0148|49 51|HBc
P09524276A0939|35 61|urease in Klebsiella aerogenes
P09489670A1157|13 16|HST6
P10913304A0894|59 62|Elk1
P10523647A0000|55 65|bZIP protein
P07698219A0551|45 55|alpha 6 beta 1
P09234717A0000|173 200|SH2 domain-containing proteins
P11327698A0191|87 88|P4
P00453780A0430|20 22|IgA
P07559233A0534|0 14|Citrate synthase
P07685823A1234|0 12|RNA polymerase
P11152344A0416|128 133|fibrin
P07505798A0000|137 139|MHC
P07588240A0000|48 52|ced-3
P03537721A0876|156 173|vacuolar hydrolases
P07616569A0168|140 144|nad4L
P08649372A0755|54 57|Swi6
P07559355A0066|148 165|Proteus gene cluster
P09514156A1147|13 18|DNase I
P09840928A0884|59 61|H2A
P08231816A1473|187 193|IPNS tsp
P09482902A0423|62 71|Pctr1 locus
P10438950A0580|7 9|TNF
P10477583A0000b|16 30|B cell Ag receptor
P09382924A0131|228 232|PSMB5
P01314953A1266|66 69|HAP3
P08349104A0000|3 29|Saccharomyces cerevisiae GAL1
P10825200T0000|108 110|Syk
P08702543A0000|26 53|Ras GTPase-activating proteins
P09418040T0000|201 215|recombinant CHL D
P09914518A1217|113 114|ER
P07514301A0000|21 46|RNA-dependent protein kinase
P09990315A0205|25 28|ERK1
P07678051A1303|40 47|PLC gamma
P08768377A1387|64 79|phytochrome C gene
P07791768A0930|96 108|clb5 mutations
P10391246A0756|20 23|TAK1
P08955136A0606|89 113|erythroid PIP5KI antibodies
P10918572A0794|35 39|ErbB2
P09315632A1137|63 79|FGFR3 kinase domain
P10531446A0203|26 30|ErbB3
P01833637A0531|155 163|HSP82 gene
P01413984A0737|96 100|apo A1
P10518561A0885|52 61|SH2 domains
P03282232A0743|47 50|DP1A
P10965135A0735|193 195|MKK
P10899128A0661|150 162|mammalian gene
P11559366T0000|43 80|plasminogen activator inhibitor type 1 gene
P09605137A0677|28 30|p65
P02209811T0000|0 20|Horseradish peroxidase
P07326596A0061|33 35|IgE
P01688841A0430|21 24|ipaB
P01850096A0662|122 139|cardiac alpha-actin
P09099702A0692|23 29|conRTRE
P07673154A0688|112 122|fibronectin
P09322872A0745|29 34|TK gene
P08207805A0000|3 31|p53 tumor suppressor gene product
P10940557A1687|103 105|MIH
P01531632A0000|82 90|nucleolin
P11336698A0075|22 26|Rsc30
P08386318A1102|158 162|Raf-1
P08212571A0971|19 29|rev proteins
P10497199A0559|94 147|chicken ovalbumin upstream promoter-transcription factor II
P02083253A1512|152 185|T-cell-specific transcription factor
P07999066A0238|74 81|IL-2 gene
P09111048X0000|153 156|nNOS
P09402139A1121|101 107|insulin
P02686588A0592|49 58|hemoglobin
P11160688A1726|91 94|ICP0
P11473261A0587|36 66|guanine nucleotide exchange factor
P08219227A0830|39 46|AP-1 site
P09514159A0562|54 57|Ptx1
P03280807A1447|207 221|wild-type SUF12+
P07796935A0284|83 98|hTR alpha 1 mutants
P01320255A0795|74 83|L1 sequence
P08806693A0584|79 94|ME26 viral protein
P10749145T0000|25 36|PCPH proteins
P10749145T0000|106 108|Ras
P08754840A0793|9 22|glucan synthase
P11133986A0350|151 155|c-Jun
P08576262A0160|3 14|IL-8 receptor
P08232412A1342|3 12|lemdr1 gene
P09585253A1147|63 64|TF
P10898795A0527|39 43|HDACs
P09311835A0147|54 62|T antigens
P11323411A0505|66 69|Gab1
P09115395A0478|119 123|Oct91
P10556595A0391|25 38|mutant recN gene
P11376119A0346|109 115|GHR gene
P09590540A0513|191 200|T5 promoter
P01930660T0000|26 30|IGF-1
P08770021T0000|27 48|tyrosine kinase oncogene
P11333268A1521|86 88|Ras
P10476970A0542|127 150|heterotrimeric G-proteins
P10406464A0687|76 82|TRAP220
P02868446A0184|61 71|dnaG protein
P02110145T0000|59 62|CfiA
P10068446A0124|56 58|PKC
P02139891A0532|68 70|EIV
P09111367A1098|435 467|N-terminally truncated tal-1 variant
P11212249A0993|65 81|activator protein 1
P08468475A1280|125 140|IL-2R beta subunit
P08226798A1124|15 17|CaM
P09544991A0483|0 10|PRL receptor
P08876167A0717|32 41|H4 promoter
P08145646T0000|38 48|sigma factor
P07814388A0662|98 111|pertussis toxin
P11198424T0000|69 88|phytosulfokine-alpha
P08284227A0336|65 67|Id1
P02307371A0263|86 90|c-myc
P07657162A1412|39 43|LEF-1
P07913926A0878|67 76|ntcA mutant
P09062130A0116|155 164|SH2 domains
P01448917A0775|155 163|CPSMV RNA 1
P09077108A0458|63 65|IgG
P02674141A1202|27 30|CTSE
P10850329A0248|0 3|IL-2
P08816483A0869|26 29|SWI5
P09849961A0387|17 21|IRS-1
P08798635A0870|71 74|ARF5
P09003001A1909|21 31|SE2 fragment
P00603783A0647|19 21|IgM
P08226956A1397|68 75|fad7 mRNA
P09368014A0740|3 17|lysozyme FEF site
P10907971A0806|36 51|HMG-CoA reductase
P09553143A0729|43 45|Erk
P09618150A1464|11 17|insulin
P08415712A1153|57 61|GPRK6
P07657705A1181|24 33|K-glypican
P10840001A0188|0 8|Mucin gene
P08605931A0777|118 127|U1A protein
P10788320A1034|138 146|tri-snRNP
P11479104A0446|29 52|anti-cardiolipin antibody
P07559402A0622|94 107|protein kinase A
P10533066A1197|39 41|PTT
P01309587A0715|31 43|BMRF1 promoter
P07791768A0930|88 91|swi4
P10648619A0000|63 65|TBP
P08582633T0000|78 85|HMR locus
P10471721A0141|41 46|S locus
P07702752A0545|75 93|cAMP-stimulated gene
P09199286A0086|17 20|mkh1
P03296254A0556|72 82|prothrombin
P08300527T0000|47 80|malonyl-coenzyme A decarboxylase gene
P08918456A0455|46 49|AP-2
P09084174A0667|146 148|Asd
P01829460A0329|68 80|kappa B element
P02983331T0000|18 56|endogenous corticotropin-releasing factor
P08497248A0000|75 92|c-fms protooncogene
P08790291A1022|38 41|thi1
P09736697A1107|20 23|IL-6
P11069756A2618|352 380|PAK-interacting exchange factor
P02497340A0989|54 65|VH heavy chain
P09915798A1077|12 16|hsp90
P01383690A1023|3 5|ARG
P01768648A0853|24 41|LexA fusion proteins
P08617311A0979|71 83|mammalian mIgG
P11574105A0727|216 235|anti-GD1 a IgM antibody
P09575143A1189|17 22|ZAP-70
P09343433A0000|46 60|RNA polymerase II
P10591633A0138|101 112|SNARE protein
P08383622T0000|18 22|NRF-2
P02532032A0385|22 24|ANF
P01422265A0263|85 88|IgG1
P08245456A0501|28 31|IL-5
P03112412A0985|38 89|temperature-sensitive threonyl-tRNA synthetase mutation
P10094396A0000|0 14|Topoisomerase II
P01569584A0672|132 146|alpha-type genes
P11254713A1029|180 187|IL-2 gene
P07983716A1082|147 154|Y88L RNAs
P09564860A2315|51 59|rat GnRH-R
P10407269A0000b|43 47|cdc18
P07704040A0000|27 39|mouse NMO1 cDNA
P09719636A1134|194 197|gp17
P11152070A0573|99 133|cefEF cephalosporin biosynthetic genes
P07476164A1602|136 155|wild-type CspB protein
P07683375A0000|199 212|protein kinases
P09716183A1036|151 173|TBP amino-terminal domain
P03167060A0000|0 25|Insulin-like growth factor II
P07636984A1349|31 33|SP1
P11278819A0565|96 109|mouse IRBP genes
P09705324A1602|19 32|rat Std promoter
P09420234A0654|0 7|MpB GroEL
P01702361A0621|35 42|collagen
P10068040A0136|47 55|ubc-9 gene
P10855690A0870|77 83|NF-IL-6
P10891441A0871|79 88|p85 subunit
P08506384A0146|65 70|eIF-2B
P02940334A0141|63 66|HBIG
P10549354A1782|211 218|GSK3 beta
P10564479A0384|10 13|fdsR
P08139543A1520|49 53|NHP6B
P11521191A0000|162 182|retinoblastoma protein
P10393201A0654|46 62|DNA polymerase beta
P10815410A0000|120 122|TNF
P08668190A1364|28 38|hum1 mutants
P10717612A0000|163 175|interleukin-2
P07713936A0393|9 13|meAda
P09341192T0000|65 78|tyrosine kinase
P08388543A1263|81 83|Ras
P08552095A0758|68 77|paf1 mutant
P00812183T0000|10 23|transfer factor
P02518691A0251|155 168|kappa B enhancer
P11435578A0760|5 8|TxRE
P07988731A1301|27 30|GF14
P08075421A0621b|50 54|HrpJ2
P07534285A0155|99 115|murine Mpl receptor
P02405393T0000|53 56|ETS2
P10588946A0432|68 72|ORP-6
P07841663A0845|99 101|SOD
P02597549A0964|157 167|prothrombin
P08630548A0000|105 129|tumor necrosis factor-alpha
P01547775A1024|150 162|PLRV replicase
P11145566A0000|42 46|HDL-R
P02846852A1459|94 108|L strand promoter
P11082185A0415|80 84|IRF-1
P08223613A0519|155 167|TSL1 homologue
P01549123A0480|86 114|bZIP transcriptional activators
P07887226A0858|21 28|ferritin
P07862108A0987|34 36|TEP
P09931435A0357|70 74|ZIS-1
P09537361A0149|47 50|cvaA
P02496109A0754|233 243|alpha operon
P11168588T0000|12 37|herpes simplex virus type 2 US3
P10446149A0809|98 125|phosphoinositol-3 kinase delta
P10860846A0480|46 65|AP2 core binding region
P02406570A0898|50 53|ARS1
P01337142A2043|8 45|human glycoprotein alpha-subunit promoter
P10413676A0595|53 61|FAK kinase
P01939199A0588|16 20|TFIID
P08332492A0145|31 36|GATA-3
P08546707T0000|51 62|NF-kappa Bp65
P08189533A0203|33 44|gene 5 product
P01901405A0694|33 38|AT-BP1
P01394200A0592|142 161|interleukin 2 receptor
P01688841A0430|26 29|ipaC
P09639074A0707|0 2|Sp1
P11227182A1475|91 96|leptin
P07782302A0479|61 63|Ran
P01380062A0097|0 7|T antigen
P10629176A0887|62 81|S. cerevisiae FBP1 gene
P07652575A0435|57 61|Cdc42
P08523545T0000|150 154|Oct-1
P09613574A0905|121 131|MGMT protein
P09606633A0523|0 13|Interferon beta
P10559364A0846|189 192|UL57
P10608893A0727|23 26|Hp55
P08546707T0000|72 76|c-Rel
P10640683A0670|135 139|RIPE3
P10679922A1110|59 62|ING1
P11196199T0000|147 149|p53
P08331067T0000|31 54|bacteriophage K1F tail gene
P11200568A0830|78 80|IgM
